,text,tag,senti_polarity
10,	【妙语生花】喝茶只需两个动作——拿起和放下。人生亦如喝茶，虽看着繁杂，其实又何尝不似如此简单？有些事何必纠结于心？有些人何必纠缠不清？很多时候，看淡一些，看轻一些，世事原本可以像喝茶一样，不过拿起和放下罢了。她说，后来我知道，必须接受生命里注定残缺和难以如愿的部分。要接受那些被禁忌的不能见到光明的东西。在这个世间。有一些无法抵达的地方，无法靠近的人，无法完成的事情，无法占有的感情，无法修复的缺陷。	,正能量,positive
11,	【哲理语句】你永远要宽恕众生，不论他有多坏，甚至他伤害过你，你一定要放下，才能得到真正的快乐。越来越任性是因为爱得太深。越来越沉默是因为伤得太痛。越来越礼貌是因为失望透顶。什么都可以不好，心情不能不好，什么都可以缺乏，自信不能缺乏，什么都可以不要，快乐不能不要。这个世界不单为不平凡的人而存在，我们没有理由不为自己平凡而充实的、问心无愧的存在而高兴。	,正能量,positive
12,	【句句说到心坎上的文字】人在寂寞中有三种状态。一是惶惶不安，茫无头绪，百事无心，一心逃出寂寞。二是渐渐习惯于寂寞，安下心来，建立起生活的条理，用读书、写作或别的事务来驱逐寂寞。三是寂寞本身成为一片诗意的土壤，一种创造的契机，诱发出关于存在、生命、自我的深邃思考和体验。——周国平，《独处是一种能力》人生不可辜负的贵人：长期无条件支持你的人、对你不顺眼就唠叨的人、愿意和你分担责任分享快乐的人、欣赏而不嫉妒你长处的人、向你承诺并遵守承诺的人、愿意不放弃而相信你的人、生你气而不嫉恨的人、愿意和你一起吃苦的人、当你升迁不是恭维而是默默关注你的人、当你偏离人生轨迹时提醒你的人。	,正能量,positive
13,	时间回不到开始的地方。对于已经错过的一些东西，或许不用再试着去挽留。对于得到，我们都应该充满感激，对于失去，谁能保证那本该是属于你的？有些东西原本就是让你牵挂而不是获取的。世界变了，难忘的人，做过的梦，有过的期待，走过的路，有一些自己认为该珍惜的，现在又如何呢？鳄鱼妈妈骂小鳄鱼：“你怎不学学海豚宝宝？瞧！人家不但会游会跳，还会翻跟斗，多棒！”小鳄鱼说：妈妈先翻个给我看吧！点评：人各有长，也各有所用，各有发展。父母在逼孩子的时候，要先想想自己和孩子的所长所短。人人都该以自家的工作为荣，特质为傲，相信自己是世上的独一无二！	,正能量,positive
14,	【慧人慧语】越是复杂的环境就越要坚定、理智、果断地决策问题。一种思维不宜轻易形成，但是一经形成，并且又被事实验证是正确的，就一定要坚持下去，不可半途而废，直到最终结局的兑现。反复回味斟酌，对做过的事走过的路就会有深刻的认识，也能从中吸取一些有益的教训。那种做完了事走过不回顾的人，不可能增智慧长见识，只能是一而再再而三地重复走上正确的路。	,正能量,positive
15,	每一个人都期待着一份至死不渝的感情。要有足够的逃生设备应变。还有一点就是:所有的房子都一样，即使是监狱也有一扇可以进出的门。如果有一天，我变得更冷漠了，请记得，我曾经要人陪的时候你都只说忙；如果有一天，我变得目中无人了，请记得，曾经也没有人把我放在心里；如果有一天，我不再在乎你了，请记得，曾经也没人听过我的心事；如果有一天，我不再对你笑，请记得，你曾经也没有问我过的快不快乐。	,正能量,positive
16,	生命的豁然总会随着第一缕明媚到来。每天都有人离去，每天亦有人归来。不必纠结于离去，亦不必欣喜于归来。若真是灵魂的倒影，便无所谓归来与离去，自时时相随。若真是生命的意义，纵相距，亦相聚。一切皆源于心。------自己安心，即是佛心。如何从眼神看懂对方：初次见面时，先移开视线者，表示希望处于优势地位；被对方注视时，便立刻移开视线者，大都有自卑感或缺陷；看异性一眼后，随即故意移开视线者，表示有着强烈的兴趣；斜眼看对方者，表示对对方非常有兴趣，但又不想让对方识破。	yipinjuzi.com,正能量,positive
17,	我们必须承认，我们的许多成见和偏执，在生活当中成了自己的困惑和障碍，甚至别人的眉高眼低，都成了我们观察世界的标准。在自己的狭隘里，我们丢失了许多公正和客观，甚至别人的打嗝和放屁，也成了我们嘲笑的理由。需要自己清醒的是，我们自己的朴素和真实，才是人生真正的修养。如果看不清未来，那就努力做好现在。把眼前的事情做好了，机会自然会来。过去的你已经无法更改，未来的你什么样，取决于你的现在。如果你对未来感到迷茫，现在就放弃努力，那么你终将为今天的堕落付出代价。很多问题，不是靠想象就能解决的，你必须亲自去做，在行动中去消除障碍。	,正能量,positive
18,	人若简单，快乐便会相随；心若诗意，一切皆会美好。无需羡慕他人，自己也是风景，留一颗素心在尘世，给流年一个浅浅的回眸，淡看浮尘烟火，细品岁月静好，与世无争、与尘无染，飘然物外，在一朵花开的时间里行走、怀想，让纯净的念想贯穿一生，宠辱不惊，我自清欢，如此，便好。故当顺势，以卵击石易碎，螳臂挡车多伤；故当看开，一已之力有限，众人拾柴焰高；故当放下，可为时尽力，不可为时宽心。心若不复杂，人生也简单。世界复杂么？其实远比你想的简单得多；所谓的“复杂”，只不过是幻像对你的蒙骗。不必强求许多东西，把一切都看得淡然，也不必计较别人如何评断，不用在乎自己会不会一无所有，只专注于自己笃信的方向，并且把这种淡然与坚定渗透到生命当中，变成自己的人生态度与处世方式，如此，则成为自己心灵的主人，不再被这个纷纷扰扰的世界牵着走，也不再被自己生生灭灭的念头迷惑。	,正能量,positive
19,	5＋1＝3，是文学；1＋1＝2，是数学；1＋1＝0，是哲学。如果你周围是一群鹰的话，那么你自己也会成为一只鹰；如果是在一群山雀中间的话，那么你就看不到海阔天空。悲观者说人生是一杯苦酒，乐观者说人生是一杯香槟，悲观者说人生是一杯清水，乐观者说人生是一杯甘露。	,正能量,positive
20,	去抱怨，不浮躁，不害怕孤单，能很好的处理寂寞，沉默却又努力，那时说不定你想要苦苦追寻的梦想，已经握在你手中了。等你已经变成更好的你，继续勇敢地追寻下去等下去，真正能治愈自己的，只有你自己，总有一天，我们都能强大到什么都无法扰乱我们内心的平和。人一定要想清三个问题：第一你有什么，第二你要什么，第三你能放弃什么。对于多数人而言：有什么，很容易评价自己的现状；要什么，内心也有明确的想法；最难的是，不知道或不敢放弃什么——这点恰能决定你想要的东西能否真正实现，没有人可以不放弃就得到一切。	,正能量,positive
21,"	人活着，要有所追求，有所梦想，要生活得开心，快乐，这才是理想的人生。上天给我们机会，让我们来到世间走一遭，我们要珍惜，因为生命是如此的短暂，如果我们不知道珍惜，它将很快的逝去，到头来我们将一事无成。不要去羡慕别人的人生,你看见的,并不是他们经历的所有。你只羡慕他们的光鲜外表,却看不到他们为此付出的代价和努力。生活不是一定要有惊天动地的情节,才叫精彩。唯有努力，将来的你一定会感激现在拼命的自己。	",正能量,positive
22,	每个人都要成长，这是一条必经的路，也是一条逃避不了的路。不愿成长的人，只能被现实拉扯着跌跌撞撞向前，即使遍体鳞伤、血肉模糊。没人在乎你是否痛了，他们有他们的路要走，他们很忙；也没人能够替你承受，这些都得是自己承担，无可奈何，无可避免。经历多少动荡，才能看清一个人的内心。但为了那点输赢，我们总不愿承受一场动荡，所以从来没有机会真正了解一个人。一路平坦的感情，并无交集，只平行。心中的爱和思念，都只是属于自己曾经拥有过的纪念。有些事情是可以记念的，有些事情一直无能为力。	,正能量,positive
23,	生活每天充满了万般无奈，因此有时候，热闹与快乐是一种必须，但也掩盖不了寂寞与失落，生活、现实、理智、时间，最难过的，莫过于当你遇上一个特别的人，却明白永远不可能在一起，或迟或早，你都不得不放弃。虚荣心很难说是一种恶行，然而一切恶行都围绕虚荣心而生，都不过是满足虚荣心的手段。	,正能量,positive
24,	与小人交谈的基本原则：1不要和小人交往太深。2没有十足把握，不要轻率地揭发和攻击小人。3和小人说话要加倍小心，涉及个人隐私、对他人的抱怨和指责万不可对小人说。4不要试图和小人理论。5避免和小人有经济上的往来。6最好不要让小人知道你认为他是小人。	,正能量,positive
25,	健身在于健心，健心在于养神，养神在于养脑，养脑在于脑勤，脑勤用脑则强，脑强健命则长！未婚的想找知心爱人，结婚的想找完美情人，离婚的想要全部财产——做个理财达人。磨损;是一颗珍珠，深藏愈久，孕育越明。相反，是一枚浮叶，一堆泡沫或一头泥牛呢？那激情也会无情的吞没。	,正能量,positive
26,	不是流泪就能挽回失去的东西，所以不要轻易哭泣；不是伤心就一定低头，所以不要吝啬微笑；不是你认为可以给予就给予，所以不要轻易许诺；不是你一事无成，所以不要总是悲观地以为自己不行；不是只有你一个人在努力。所以不要轻易言弃。勇敢过了头，就成了鲁莽；诚信过了头，就成了迂腐；机敏过了头，就成了圆滑；施舍过了头，就成了乞丐；贪婪过了头，就成了腐败；执着过了头，就缺少心眼；善良过了头，就成了软弱；专横过了头，就成了霸道；做事过了头，就走上了绝路。	,正能量,positive
27,	我不让老婆生隔夜气，如果有矛盾，我永远100%先退第一步，男人和女人永远没有绝对和对和错……人生不是一支短短的蜡烛，而是一只由我们暂时拿着的火炬；我们一要把它燃得十分光明灿烂，然后交给下一代的人们。理智是人的最高天赋，是人本质上区别于低级动物的特征。理智的人使自己适应这个世界，不理智的人却硬要世界适应自己。	,正能量,positive
28,	你当下拥有的，就该喜爱与珍惜，不要轻言放弃，有些东西只有真正离去时，你才能领略无可挽回的痛。别说坚持是一种苦与罪，在最无望的时候咬牙忍住，或许希望就在峰回路转处。总有些事，管你愿不愿意，它都要发生，你只能接受；总有些东西，管你躲不躲避，它都要来临，你只能面对。微笑是一种消灭孤独、恐惧、愤怒、不安等等所有令人不安的正向力量。	,正能量,positive
29,	人生需要看透，但不能看破。人总是这样，对亲近的人太苛求，对陌生人显得过于宽容。叶散的时候，你明白欢聚；花谢的时候，你明白青春。你走过的每一条弯路，其实都是必经之路。你永远都无法借别人的翅膀，飞上自己的天空。	,正能量,positive
30,	一个是心存妒忌，一个是顾做清高。在这个世界上，如果没有钱，你就算有吕布之勇，诸葛之才，恐怕也是寸步难行。只要有钱，连至高至上的法律都能为你让路，难道这东西还不重要吗？南北洪门，门下帮众无数，没有钱，这些人有几个会拼死拼活的卖命。勇敢是一种斗争精神。面对邪恶、困难，一个勇敢者必须毫不畏惧地去斗争，去拼搏；勇敢是一种创造精神，面对未来、希望，一个勇敢者应该毫不退缩地去创造，去开拓；勇敢是一种牺牲精神，为了正义、真理，一个勇敢者必须毫不犹豫地去牺牲，去献身。	,正能量,positive
31,	【慧语经典名句】生活如水，人生似茶，再好的茶放到水中一泡，时间久了，也就淡了。人生步入另外一种境界，—淡然。得与失，成和败，聚或散，虽然一样渴望一切都好，但也能安然地接受一切不好。淡然，是人生的一种成长！做你自己想做的，而不是别人想看到的。很多人不快乐，因为总觉得过去太美好，现在太糟糕，将来又太飘渺。颠颠撞撞间，我们已然长大，即使是有些事情看来像是回头的事，也都是去面对着完成的。我们可以转身，但是不必回头，你应该大步朝着对的方向去，而不是回头怨自己错了。	,正能量,positive
32,	【说到心坎的句子】多一些宽容，多一些大度，挥挥手，笑一笑，一切的不愉快都会成为过去。生命的完整，在于宽恕、容忍、等待与爱，如果没有这一切，拥有了所有，也是虚无。逆境时，不妨换一个角度来思考，凡事往好处想，好的心态决定好的命运！生命是一个迷，我们永远不知道下一步会是怎么样，会出现一个怎么样的局面，那么就让我们做一个优秀的演员吧，尽情的去投入，该笑的时候就开心的笑，该哭的时候就痛快的哭，该爱的时候就爱他个轰轰烈烈，该恨的时候就恨他个彻彻底底。用我们生命里所有的时间和精力，所有的真心和真情，所有的欢笑和泪水，去演绎这场生命之剧，使自己的角色完美无暇，那么在剧终谢幕的时候，肯定会有人流着泪水给予我们最热烈的掌声。	,正能量,positive
33,	在人的一生中，会遇到许许多多的人和事，有些是完全用不着的，比如名利、贪心、虚荣、嫉妒等等。这些，都是负担，应该果断地删除它！就像电脑中的垃圾文件一样，及时删除，操作才能顺利进行。人生，就是一步一步走，一步一步扔。走出来的是路，扔掉的是包袱。这样，路就会越走越长，心就会越走越静。逝水流年，笑过，沧海桑田，经历过，人情冷暖，承受过，缘深缘浅，痛过。生命旅程就是一场奔波，一路的沟坎，不停地跨越，一路的酸辛，不断的超越，一路上成熟着、感恩着。赏一场春花，看一季落红，珍藏一份懂得，旅途匆匆，只是一场得失兼容的路过，放逐一份心情，还灵魂一份洒脱，让生命一路欢歌。	,正能量,positive
34,	【描写人生哲理的句子】当距离不再是距离的时候，我们一定会相遇，结成水，凝成冰，亦或，化作尘埃但愿你是我最美的风景，我是你久等的归人。与许多人相遇，又有许多人离开，而现在还有许多人留在我身边，因为我们都是迎向那遥远旅途的人，所以对离开的人留下回忆，留下的人也必须继续活下去。好的坏的我们都收下吧，然后一声不响，继续生活。人前逞强，是为学会遗忘；人后惆怅，是因为学不会伪装。其实，我们都只是孤单的孩子，渴望有人疼，渴望有人爱，渴望身边的人永远不对自己说拜拜。	,正能量,positive
35,"	【字字珠玑】不是说你象杯具,只是你一看到杯具时就爱做杯具的动作不是说你是杯具,只是你不断从一个杯具换到另一个杯具时不知道是自己在不停地换不相信空话的人未必不讲空话，相信真理的人未必坚持真理—皆因身不由己。常常告诫自己不要在一颗树上调死，结果，在树林里迷路了……如果感到郁闷，请拨打俺的电话！谈感情请按，谈工作请按，谈人生请按，给俺介绍对象请按，请俺吃饭请大声直说，找俺借钱庆直接挂机。	",正能量,positive
36,	【很有哲理的句子】世界上能登上金字塔顶的生物只有两种：一种是鹰，一种是蜗牛。不管是天资奇佳的鹰，还是资质平庸的蜗牛，能登上塔尖，极目四望，俯视万里，都离不开两个字——勤奋。很多时候，一个人的能力高低并不是最重要的，最重要的是，你要以勤奋的态度……付出汗水，终会有回报。离开永远比相遇更容易，因为相遇是几亿人中一次的缘分，而离开只是两个人的结局。相遇难，分手易，但世人看不到有缘无份的熙攘，总以为机会无限，所以不珍惜眼前人。人呀，总是这样，悲伤时要一个肩膀，而开心时拥抱全世界。时光偷走的，永远是你眼皮底下看不见的珍贵。	,正能量,positive
37,	路是自己走出来的，没有什么后悔的理由。人生两种境界：一是痛而不言，二是笑而不语。痛而不言是种智慧，人生在世，往往会因这样或那样的伤害而心痛不已。人生的路上，如果缺少体谅，不能理解，没有谦让，日子就会越过越烦恼。	,正能量,positive
38,	变老是人生的必修课，变成熟是人生的选修课。总盯着了不起的过去，就不会有了不起的将来。天气影响身体，身体决定思想，思想左右心情。跛足而不迷路能赶上虽健步如飞但误入歧途的。成大事不在于力量的大小，而在于能坚持多久。	,正能量,positive
39,	有些事情我们必须放弃，才有精力去迎接更美好的生活。其实孩子气，也没什么不好。人总有一天会长大，何必成熟太早，失去太早。未来的路，我们谁也说不清楚，什么时候醒来，什么时候又睡着了，路的尽头有什么，这些我们都无从知晓。岁月，就会这样一点一点的流逝，人生之苦，不在最初，而是他年后涌起的感受。有缘而来，无缘而去，世上之事就是这样，该来的自然会来，不该来的盼也无用，求也无益。有缘不推，无缘不求，来的欢迎，去的目送，一切随缘，顺其自然。	,正能量,positive
40,	在人生的不断实践中，你才会逐渐地了解自己，你才会知道自己到底想要什么样的生活，到底什么样的人生才是适合自己的。而当我们面临每一次选择时，最起码的一个标准就是对自己负责，一个对自己都不负责的人，怎么指望他对别人负责？对自己负责，就是对自己的一切行为负责，就是对自己所做的选择负责，为此承担一切后果。只有对自己的选择负责，你才不会在发现这个选择并不适合你的时候悔恨懊恼，因为这是你自己做的决定，这是你自己的人生，即便最后你发现这并不是一个好的选择，至少它很好地让你认清了自己。而只有认清了自己，你才会做出更好的选择，你才会拥有更好的人生。将人在自己心目中的价值和他人眼里的价值加以适当地比较，是有助于我们幸福的。造成他人眼中的价值的，是他人意识，是我们在他人眼中的形象连带对此形象的想法。这种价值对我们存在的本身没有直接的影响，可是由于他人对我们的行为是依赖于这种价值的，所以它对我们的存在会有间接而和缓的影响。然而当这种他人眼中的价值促使我们修改“自己心目中的自我”时，它的影响便直接化了。除此之外，他人的意识是与我们毫不相关的，尤其当我们认清了大众的思想是何等无知浅薄，他们的观念是多么狭隘，情操如何低贱，意见是怎样偏颇，错误是何其多时，别人对我们的看法就更不重要了。	,正能量,positive
41,	愚蠢而优选为愚蠢的标本，这是愚蠢者对人类社会的贡献。马屁而锤炼成马屁的经典，这是马屁家对自己一生的告慰。多么风光或多么糟糕的事情，一天之后，便会成为过去。所以，何必太在乎呢？——张小娴感情就是超强万能胶，一旦动了它，就会被黏上，再也甩不掉，除非连皮带肉撕下一块，然后留下一处清晰的疤痕伴你一生。	,正能量,positive
42,	【描写生活哲理的好句】正如任何永恒的事物一样，初恋具有两重性，一方面，它以回归永恒为前提，另一方面，它又以进入永恒为前提。诗人们经常赞美情人们的一见钟情，感到他们彼此仿佛早就相爱，这里包含着真理。而无所畏惧的骑士不怕任何分离的力量，拥有不可亵读的忠诚，这里也包含着真理。因为爱情的本质是以自由和必然的统一为特征的，所以会产生这种情况。正是在必然中，个人感到他自己是自由的，感到他作为个体的全部能量，感到他拥有他所具有的一切。当然，以退为进，并不是真的需要退却到很卑微的位置，甚至被尘埃无情的淹没。后退的目的是为了更好地前进，暂时的后退，是为了再次前行积蓄力量，这样的后退是保存实力，是智慧的后退，在退却的过程中，保持谦卑的忍耐，以赢得最后的成功。谦卑的忍耐绝不是对权势的顺从，对丑恶的姑息，相反，这是一种源于平等意识和博爱精神的谦卑，它以“低”的姿态坚持着自己的高度，以温柔的表情坚持自己的冷静。谦卑之后，则是一种顺手拈来的成功。	,正能量,positive
43,	【有深度哲理的句子】想要忘记一段感情，方法永远只有一个：时间和新欢。要是时间和新欢也不能让你忘记一段感情，原因只有一个：时间不够长，新欢不够好。——张小娴让男人念念不忘的是感觉。感情随着时间沉淀，感觉随着时间消失。终其是不同的物种，所以，谁又能明白谁的深爱，谁又能理解谁的离开。——徐志摩生命里某些当时充满怨怼的曲折，在后来好像都成了一种能量和养分，这些人、那些事在经过时间的筛滤之后，几乎都只剩下笑与泪与感动和温暖。——	,正能量,positive
44,	想得开的人，处处都是春天；想不开的人，处处都是凋枯。力量最微渺的，是原子化;威力最强大的，却也是原子弹。最宝贵的东西不是你拥有的物质，而是陪伴在你身边的人。感恩有三种形式：在心里感激，在嘴上表达，用行动回报。幸运和不幸是一双筷子，缺了哪一根都吃不好人生这碗饭。装进钱包的不一定全是收益，奉献出去的不一定全是损失。处事不必求功，无过便是功；为人不必感德，无怨便是德。若爱，请深爱。放弃，请彻底。等待，本身就是一个错误。	,正能量,positive
45,	生命不长，利用每一分每一秒去创造、去思考，难道还有什么能阻止你成功吗？天才都如此惜时，何况普通人。年轻人，要想成功，就需要付出比别人更多的努力，就需要珍惜宝贵的时间，合理利用，努力工作。只有这样，你才能超越别人，超越自己。在科技时代，知识无疑是最重要的。人类依靠知识传承文明，人们借读书认识世界。读书使人获得知识，而知识就是力量。梦想实现人生价值的年轻人，你们的未来需要知识的积累，在精力旺盛的青年时代，多读书，充实自己，为将来做好坚实的铺垫。	,正能量,positive
46,	你可以不高尚，但不能无耻；你可以不伟大，但不能卑鄙；你可以不聪明，但不能糊涂；你可以不博学，但不能无知；你可以不交友，但不能孤僻；你可以不乐观，但不能厌世；你可以不慷慨，但不能损人；你可以不追求，但不能嫉妒；你可以不进取，但不能倒退。当你习惯过一种日子，那么，你的一生只过上一天；如果你生活常新，那么你每一天都会过得很精彩。	,正能量,positive
47,	【有哲理的句子】爱我，就把你的手给我，我会一直牵着你，直到生命的尽头；爱我，就把你的心给我，我会把它和我的心放在一起，直到我的心脏停止跳动；爱我，就把你的悲伤给我，我会和你一起分担所有的忧愁，直到你不再伤悲；爱我，就把你的眼泪给我，我会用我的体温把它烘干，直到看到你的笑容。是你，为我撑起生命的帆；是你，为我指点前行的道路；是你，为我背起沉重的负荷；是你，为我迷途时紧锁了眉，俯首细数你斑白的发丝，从未仔细端详过。岁月为我带走了你的青春，远行的路你凝目眺望，静静地消失在路尽头。那一刻我的眼泪纷飞-，不管我如何走远都走不出爱的牵绊。	,正能量,positive
48,	弱者只有千难万难，而勇者则能披荆斩棘；愚者只有声声哀叹，智者却有千路万路。学会赞赏吧，它能拉近朋友间的距离；乐于赞赏吧，它能鼓励朋友不断上进；自我赞赏吧，它能激发自身的潜能。我们很多时候把依赖当成了爱，当看到别人没有自己也活得很好的时候，内心就会莫名其妙地生气，觉得对方不爱自己了。其实真正的爱，是给对方自由，也给自己自由。——《拆掉思维里的墙》	yipinjuzi.com,正能量,positive
49,	【有深度哲理的句子】人生不过修己以清心为要，处世以慎言为先。不要和任何人议论同一个圈子里的人，不管你认为他有多么可靠。没有无缘无故的爱，没有无缘无故的恨，人与人相交多多少少都存在着一些利益关系。同一个圈子里的人这种关系更为突出。有利益就有冲突，议论同一个圈子里的人，就是出卖自己，只是时间问题而已。不管处境如何，积累自己总是没错，或博览群书思辨而形成自己的知识体系，或训练自己的技能成为专业高手，这些积累会让你的生命变得有厚度。等到被机会选中那刻，自己已经做好了充分的准备，然后开始一点一点释放自己的能量。如没有这个积累，哪怕走运也不过是昙花一现，因为根本没有可以透支的资本。	,正能量,positive
50,	世界对我们的欲望来说，是一个偌大的客体，是一个巨大的苹果，是一只巨大的酒瓶，是一个硕大的乳房。我们是吃喝者、吮吸者，是永远充满希冀、带有期望的人——也是永远失望、欲壑难填的人。我们的性格适合于交换、接受、买卖和消费。任何东西，不论是精神方面的，还是物质方面的，都成了交换和消费的对象。我该怎样回应他人的行为呢？用爱心。爱是我打开人们心扉的钥匙，也是我抵挡仇恨之箭与愤怒之矛的盾牌。爱，使挫折变得如春雨般温和。爱是我商场上的护身符：孤独时，给我支持；绝望时，使我振作；狂喜时，让我平静。这种爱心会一天天加强，越发具有保护力，直到有一天，我可以自然地面对芸芸众生，处之泰然。	,正能量,positive
51,	【含有哲理的句子】身体累，有足够的休息时间，总会恢复的。可是心累，真的是好难复原，好难，好难！在生活中充满了酸甜苦辣，面对这些问题，只有忍耐，这是生活对我们的考验，对于生活给予我们的压力有两种态度需要我们去接受：一种是快快乐乐地主动接受，还有一种就是闷闷不乐地被动接受。你接受的态度不同，所造成的结果当然也不同。人生在世不过短短数十年，为什么我们不能浪漫潇洒、快快乐乐的活着呢？守静，就是要做一个身置闲处，心安静中的人。心不动，才能坚守节操，心不动，才能守护真我。静，并不是静止的，而存在于动的平衡状态之中，是一种通过自我调节，走向平衡、安静的内心状态。一颗冷静的心，可跳出世俗的羡慕；一颗安静的心，可消磨贪念与执迷；一颗沉静的心，可拥有闲散的志趣；一颗守静的心，即可达到苏轼《定风波》中“回首向来萧瑟处，归去，也无风雨也无晴”的淡然境界。	,正能量,positive
52,	【有关生命的哲理语句】学会做自己的心理调节师，给自己疗伤，给自己解愁，给自己一个快乐的理由来化解一切的烦恼忧愁，是安慰自己最好的方法。学会换位思考，站在别人的角度看待和处理问题，就可以发现自己的不足，理解别人的难处，从中能学会许多为人处事之道。人生中最大的悲哀是看不清自己，以自我为中心，过于执着，迷失于自我偏见。如果没有随缘的心态，要求事事都随己愿，那么任何环境都不可能满足你。只有端正身心，用智慧化解掉心里的障碍，去除执着偏见、分别妄想，所有的烦恼才会云开雾散。	,正能量,positive
53,"	人生在世，行路匆匆，柔情似水的世界，看似简单，却如此复杂。当有人，愿意为你默默付出、忍受、改变时，请记得一定要好好珍惜。因为，有的人错过了，真的就再也回不来了。人生不只是坐着等待，好运就会从天而降，即使这样你也要弯腰去捡。不要把什么都看得那么重。人生最怕什么都想计较，却又什么都抓不牢。失去的风景，走散的人，等不来的渴望，全都住在缘分的尽头。何必太执着，该来的自然来，会走的留不住。如果你们因为异地恋就轻易分手了，千万不要把罪过怪在距离上，你应该庆幸，自己离开了的一个并不真正爱你的人，因为在爱的面前，距离真的什么也不是。所以,如果你的爱人也在遥远的地方，不要觉得寂寞，不要觉得委屈，要庆幸，你用寂寞和思念换来了一份真正的爱，那是别人求之不得的爱。	",正能量,positive
