,text,tag,senti_polarity
158, 你要努力，你自己想要的东西要自己给自己。洗好手后戴口罩；人多地方我不去；,鼓励,positive
159, 逆境，是人生的一面筛子，它挑选出强者，留下弱者。全国上下一条心，众志成城保太平。,鼓励,positive
160, 在家里躺着，能吃能喝的我，已经是最大的幸福者了。这平凡的人生里面，遇到的所有烦恼，难过痛苦，在这疫情前面，什么都不是。,鼓励,positive
161," 人的一生并不长，要做自己要做的事情，并且朝着自己的目标努力，这就是幸福快乐的。传染途径已扩散,减少外出早隔离。",鼓励,positive
162, 情人节不能拥抱你，那就疫情结束后，春暖花开时，我们一起相约再见吧。,鼓励,positive
163, 人生努力任何时候都不晚，演好属于自己的角色，发出闪亮的光来，照亮自己，照耀别人。不去上街，不逛商店；除非必要，谁都不见。,鼓励,positive
164, 春天来了，万物都在努力获得新生，你也要加油啊。鼠年春节如期到，新冠疫情在瞎闹。,鼓励,positive
165," 要努力，但是不要着急，凡事都应该有过程。也许过程有些煎熬，但真的，熬过去就好了。不好吃,不贪杯，自家院子走走步。",鼓励,positive
166, 所有坚韧不拔的努力迟早会取得报酬的。断疫情，少聚集，庆节日，要理性。,鼓励,positive
167, 世界很大，人生不长，#疫情后你最想去哪里旅行#？我们是看不完所有的美景，但只要间或见证不一样的美好，又何尝不是一种幸运。,鼓励,positive
168, 会休息才是真人生赢家，醒来该坚强该努力该奋斗的还是要继续，日子总不能一味矫情地过。捕杀买卖不应该，当作美味遭人嫌。,鼓励,positive
169, 你一定要努力并且要和最好的人相遇。疫情防控责任重，共渡难关靠大众。,鼓励,positive
170," 密切关注疫情进展,切实践行企业社会责任,与各界凝聚合力,一起打赢这场健康保卫战。8.加强组织领导，压实工作责任。",鼓励,positive
171, 坚定信心，众志成城，科学应对，加强防范，互相鼓励，携手共进，夺取胜利!,鼓励,positive
172, 不消极！不懒惰！不脆弱！拼搏到无能为力，努力到感动自己！你会成为最棒的自己！第一环节传染源，这个环节是首先；,鼓励,positive
173, 待到春暖花开时，相信那是美好的一天!我在无锡，我为武汉加油，我为中国加油!就像那一道五彩的彩虹，我们一起加油吧!,鼓励,positive
174," 疫情结束了，我也没有什么想见的人，见了也没有什么用，就是要好好挣钱，现在没有挣钱更实际的了。""",鼓励,positive
175, 面对人生旅途中的挫折与磨难，我们不仅要有勇气，更要有坚强的信念。,鼓励,positive
176, 比我优秀的还在努力，比我差的还没放弃;我有什么资格说自己无能为力。--致自己。打喷嚏捂口鼻，喷嚏后慎揉眼。,鼓励,positive
177, 立志贵在坚持，立志贵在立大志！而立大志，莫过于立志成才，照亮祖国未来的希望。到过武汉请登记，社区电话上面有。,鼓励,positive
178, 我们总以为来日方长，却忘记了世事无常。这些天明白了，你安好，我无恙，便是这世上最静好的时光！,鼓励,positive
179, 希望也会带来失望，你发现，也许他已经走在了别人的路上，彼此错过了，留下了失望的阴影。只要大家来支持，齐心协力会胜利。,鼓励,positive
180, 赢得好射手美名并非由于他的弓箭，而是由于他的目标。春暖时，花将开，凯旋归，尽开颜。,鼓励,positive
181, 应该相信，风浪后将是平静的海洋，坎坷后面将是平坦大道。加油中国，加油武汉！,鼓励,positive
182, 时到，花自然便开。你只要努力就对了，什么时候花才盛开那是老天爷的事。解放军，战洪水，舍生忘死筑大堤。,鼓励,positive
183, 我们相信中央，也积极自救!谢谢帮助武汉的人们!也请大家帮忙先募集物资，保障医疗人员的安全!,鼓励,positive
184, 不走心的努力，最后都是徒劳无力。遇困难，别着急，政府来帮你解决。,鼓励,positive
185, 比你赚钱的比你还努力，你凭啥不努力，想捍卫自己，那就拿出来点实际行动。坚决打赢防疫站，天佑中华渡难关。,鼓励,positive
186, 我最孤单最无助最难过的时候都是我自己一个人熬过来的，你说我凭什么不坚强。废弃口罩专用桶，已设楼下院门口。,鼓励,positive
187, 男人通常都伪装坚强，女人一般都假装娇弱。县上专家医疗组，拨打120立马到。,鼓励,positive
188, 不要去考虑自己能够走多快，只要知道自己在不断努力向前就行，路对了，成功就不远了。不走亲、不访友，以后感情更长久。,鼓励,positive
189, 丰碑无语，行盛于言，努力实现自己的目标，宁可辛苦一阵子，也不辛苦一辈子。更有专家冲在前，中国政府不简单。,鼓励,positive
190, 【抗击疫情的句子】抗病毒，莫慌张，科学防控听召唤。县委县府有主张，指挥调度有力量。夔州大地布天网，铜墙铁壁防火墙。,鼓励,positive
191, “我们可以熬过去的，许多许多勇敢的人们和我们站在一起，你不要怕，我也不怕。”,鼓励,positive
192, 一日三餐，四季，作息时间规律，健身跑步，旅游散心，有你有我，一辈子#武汉加油#我也加油，你也加油，中国!加油!!,鼓励,positive
193, 武汉一定要挺住，向白衣天使致敬，你们辛苦了，熬过这个艰难的时刻，武汉加油！,鼓励,positive
194, 努力到无能为力，拼搏到感动自己。用手揉眼更危险，必须把手洗干净。,鼓励,positive
195, 努力读书吧，这是获取平静心情的有效途径。武汉回来紧操心，来给大家提个醒。,鼓励,positive
196, 努力不一定能带来成功，但是一定能带来成长。碗和筷，煮一煮，常通风，笑脸扬。,鼓励,positive
197, 加强传染病防控工作的执法检查，对措施执行不到位的医疗机构要依法查处。,鼓励,positive
198, 要想不经过艰难曲折，不付出极大努力，总是一帆风顺，容易得到成功，这种想法只是幻想。5G通行，视频守礼。,鼓励,positive
199, 感谢抛弃我的人，因为他教会了我坚强。一二三四五六七，绝对不乱扔垃圾。,鼓励,positive
200," 如果想知道什么是希望，请买一张彩票；如果想知道什么是绝望，请你买一堆彩票。多消毒来勤洗手,杀死病毒没后患。",鼓励,positive
201, 既来之则安之，如果我们无法选择疾病，那么我们可以选择面对疾病的态度。越坚强越乐观越积极面对，希望就越大!　　　,鼓励,positive
202, 再见，也许永远不见，我内心固执地追求，只有我自己看得见，但我希望我没错。防疫器具保供应，救灾措施保畅通。,鼓励,positive
203, 中国加油！武汉加油！希望如约而至的不止春天，还有疫情过后平安的你！,鼓励,positive
204, 努力拼搏、奋勇向上；为自己扬帆、为明天喝彩。四个小时换一次，换下扔到指定处。,鼓励,positive
205, 特殊时期，祝一切平安，健康顺利！特别是大城市，疫情中，人也多。各位一定要保护好自己！！,鼓励,positive
206, 选择让你快乐的那个人来共度余生，而不是你必须努力取悦的那一个。,鼓励,positive
207, 挫折可能是成功的绊脚石，也可能是成功的垫脚石。众志成城，战胜疫情！,鼓励,positive
208, 鲜花一组，献给奋战在疫情前线的勇士，也献给宅在家防控疫情的人们，希望在前，坚持就是胜利！武汉加油！中国加油！,鼓励,positive
209, 艺术的大道上荆棘丛生，这也是好事，常人望而却步，只有意志坚强的人例外。——雨果,鼓励,positive
210, 不是只有惊天动地的人生才需要努力，平凡的幸福，也需要不凡的努力。勤通风、勤洗手，呆在家里别乱走；不走亲、不访友。,鼓励,positive
211, 当你义无反顾开始努力时，运气就已经在路上了。添丁加口生日宴，喜事放在来年办。,鼓励,positive
212, 没有**就没有希望，没有拼搏就没有成功。乡到县，县外县，四级设立防火线。,鼓励,positive
213, 全国人民加油!我们这个民族!之所以能延续5000年的历史!是因为这个世界上!从没有任何困难可以难住我们的中华民族!,鼓励,positive
214, 在此为新冠病毒做出牺牲的一线医护人员表示强烈的敬畏和感谢。全国人民团结一致，定能走出困境。武汉加油。,鼓励,positive
215, 人因为有理想梦想而变得伟大，而真正伟大就是不断努力实现理想梦想。你拍一，我拍一，不要乱吃脏东西。,鼓励,positive
216, 一个人如果胸无大志，即使再壮丽的举动也称不上伟人。少外出，多睡觉，增强体质很重要。,鼓励,positive
217, 面临大考，心态要好；摆正身心，价值千金；只要努力，总有天地！任何困苦无所惧，疫情过了咱再叙。,鼓励,positive
